link,address,square_price,Area,price_start_from
https://krisha.kz/complex/show/almaty/ramsevo/,"Алматы, Алмалинский р-н, пересечение Ауэзова и Гоголя",630000²tg,1-комн. 41.9 м²,35728498.0
https://krisha.kz/complex/show/almaty/ramscity/,"Алматы, Бостандыкский р-н, ул. Жандосова, 94А",590000²tg,3-комн. 76.4 м²,54014800.0
https://krisha.kz/complex/show/almaty/ramssaiahat/,"Алматы, Жетысуский р-н, пересечении улиц Райымбека и Суюнбая",595000²tg,1-комн. 37.6 м²,25229600.0
https://krisha.kz/complex/show/nur-sultan/stolichniy2/,"Астана, Сарыарка р-н, ул. Абая, 10/2",400000²tg,1-комн. 39.4 м²,16548000.0
https://krisha.kz/complex/show/gornoe-solnce/,"Алматы, Бостандыкский р-н, Проспект Аль-Фараби, 144",960000²tg,2-комн. 75.93 м²,72864000.0
https://krisha.kz/complex/show/astana/westside/,"Астана, Нура р-н, пересечение улиц Толе Би и №26 (Бухар Жырау)",340000²tg,1-комн. 37.05 м²,14079000.0
https://krisha.kz/complex/show/aspan-siti/,"Бесагаш, ул. Кошкарбаева, 1140",325000²tg,1-комн. 49.88 м²,17258480.0
https://krisha.kz/complex/show/almaty/jetiqazyna/,"Алматы, Турксибский р-н, ул. Сыбызгы, 100",300000²tg,1-комн. 26.74 м²,9626400.0
https://krisha.kz/complex/show/nur-sultan/molodezhnyi/,"Астана, Алматы р-н, ул. Нажмиденова А-426, А-427",355000²tg,1-комн. 39.8 м²,14129000.0
https://krisha.kz/complex/show/almaty/shararcity/,"Алматы, Алатауский р-н, ул. Северное Кольцо, 92/13 блок 7",325000²tg,1-комн. 41.01 м²,14722590.0
https://krisha.kz/complex/show/almaty/zhana-kuat-kg/,"Алматы, Турксибский р-н, по Илийской трассе в 2 км от границы Алматы",300000²tg,1-комн. 33.9 м²,11017500.0
https://krisha.kz/complex/show/astana/altynsaulet/,"Астана, Нура р-н, ул. Е-429, 14",295243²tg,1-комн. 51.81 м²,15296550.0
https://krisha.kz/complex/show/almaty/altyn-ai/,"Алматы, Алатауский р-н, ул. Момышулы, 100",395000²tg,1-комн. 34.96 м²,14508400.0
https://krisha.kz/complex/show/atyrau/brooklyn/,"Атырау, мкр. Ак Шагала",519750²tg,2-комн. 54.96 м²,28565460.0
https://krisha.kz/complex/show/astana/safar/,"Астана, Алматы р-н, ул. А83, участок 11",325000²tg,1-комн. 35.64 м²,11583000.0
